Sr. No.,Month,EMP ID,EMP Email,F_Name,L_Name,Full Name,Studio,Country,Date of Hire,Job Title,Org,Client,Manager Email,Manager EMP ID,Manager Name,Type of movement,Date of Exit,Reason for Leaving,Attrition Type,Employment type,Work Authorisation
1,Apr-19,200001,harry.bower@softvision.com,Harry,Bower,"Bower, Harry",Mysore,India,15-Apr-19,Human Resources Director,Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Entry,-,-,-,Full time employee,Citizen
2,Apr-19,200002,max.clarkson@softvision.com,Max,Clarkson,"Clarkson, Max",Mysore,India,17-Apr-19,Immigration Paralegal,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
3,Jan-19,200003,dorothy.baker@softvision.com,Dorothy,Baker,"Baker, Dorothy",Mysore,India,9-Jan-19,Intern,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
4,Aug-19,200004,claire.bell@softvision.com,Claire,Bell,"Bell, Claire",Mysore,India,26-Aug-19,iOS Developer,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
5,Jun-19,200005,liam.hodges@softvision.com,Liam,Hodges,"Hodges, Liam",Mysore,India,22-Jun-19,IT Helpdesk Engineer,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
6,Jun-19,200006,stephen.cornish@softvision.com,Stephen,Cornish,"Cornish, Stephen",Mysore,India,19-Jun-19,IT Operations Coordinator,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
7,May-19,200007,victor.wallace@softvision.com,Victor,Wallace,"Wallace, Victor",Mysore,India,6-May-19,IT SUPPORT SPECIALIST*,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
8,Jan-19,200008,michael.graham@softvision.com,Michael,Graham,"Graham, Michael",Mysore,India,2-Jan-19,Java Developer,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
9,May-19,200009,stephen.clarkson@softvision.com,Stephen,Clarkson,"Clarkson, Stephen",Mysore,India,3-May-19,Java Engineer,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
10,Aug-19,200010,emily.mackenzie@softvision.com,Emily,Mackenzie,"Mackenzie, Emily",Mysore,India,24-Aug-19,Jr. Front End Developer,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
