Sr. No.,Month,EMP ID,EMP Email,F_Name,L_Name,Full Name,Studio,Country,Date of Hire,Job Title,Org,Client,Manager Email,Manager EMP ID,Manager Name,Type of movement,Date of Exit,Reason for Leaving,Attrition Type,Employment type,Work Authorisation
1,Mar-19,100001,anne.greene@softvision.com,Anne,Greene,"Greene, Anne",Toronto,Canada,15-Mar-19,Account Manager,DeliveryOps,DelOpsB,dominic.lee@softvision.com,109006,"Lee, Dominic",Entry,-,-,-,Full time employee,Citizen
2,Aug-19,100002,isaac.hardacre@softvision.com,Isaac,Hardacre,"Hardacre, Isaac",BUENOS AIRES,Argentina,17-Aug-19,ACCOUNTANT ANALYST,DeliveryOps,DelOpsA,stephen.ogden@softvision.com,109005,"Ogden, Stephen",Entry,-,-,-,Full time employee,Citizen
3,Jan-19,100003,dorothy.clarkson@softvision.com,Dorothy,Clarkson,"Clarkson, Dorothy",Alpharetta,USA,22-Jan-19,ADMINISTRATIVE,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Permanent Resident
4,Apr-19,100004,sonia.hemmings@softvision.com,Sonia,Hemmings,"Hemmings, Sonia","Vancouver, BC",Canada,15-Apr-19,Administrative Assistant,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
5,Sep-19,100005,maria.jackson@softvision.com,Maria,Jackson,"Jackson, Maria",Alpharetta,USA,10-Sep-19,Analyst - Systems,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Contractor,Citizen
6,Jun-19,100006,austin.thomson@softvision.com,Austin,Thomson,"Thomson, Austin",Ardmore,USA,7-Jun-19,App. Dev.,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
7,Mar-19,100007,boris.powell@softvision.com,Boris,Powell,"Powell, Boris",Atlanta,USA,27-Mar-19,Application Security Engineer,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Contractor,Permanent Resident
8,May-19,100008,christian.chapman@softvision.com,Christian,Chapman,"Chapman, Christian",Austin,USA,9-May-19,Application Support Analyst,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Entry,-,-,-,Full time employee,Permanent Resident
9,Jun-19,100009,wanda.abraham@softvision.com,Wanda,Abraham,"Abraham, Wanda",Avon,USA,27-Jun-19,Architect,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
10,Jun-19,100010,amanda.abraham@softvision.com,Amanda,Abraham,"Abraham, Amanda",Avon Lake,USA,22-Jun-19,Associate Client Partner,DeliveryOps,DelOpsB,dominic.lee@softvision.com,109006,"Lee, Dominic",Entry,-,-,-,Full time employee,Citizen
11,Sep-19,100011,jacob.mathis@softvision.com,Jacob,Mathis,"Mathis, Jacob",Barberton,USA,15-Sep-19,Associate Customer Experience,DeliveryOps,DelOpsA,stephen.ogden@softvision.com,109005,"Ogden, Stephen",Entry,-,-,-,Full time employee,Work Permit
12,Aug-19,100012,alexandra.bailey@softvision.com,Alexandra,Bailey,"Bailey, Alexandra",Bellingham,USA,2-Aug-19,Associate Project Manager,DeliveryOps,DelOpsA,stephen.ogden@softvision.com,109005,"Ogden, Stephen",Entry,-,-,-,Full time employee,Work Permit
13,Sep-19,100013,donna.reid@softvision.com,Donna,Reid,"Reid, Donna",Bethel,USA,8-Sep-19,Associate -TA,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Work Permit
14,Feb-19,100014,samantha.roberts@softvision.com,Samantha,Roberts,"Roberts, Samantha",Blaine,USA,26-Jan-12,Associate Tech Lead,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,5-Feb-19,Better opportunity,Voluntary,Full time employee,Citizen
15,Jan-19,100015,emma.lewis@softvision.com,Emma,Lewis,"Lewis, Emma",Blue Springs,USA,15-Dec-14,Associate Technical Architect,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,24-Jan-19,Better compensation,Voluntary,Full time employee,Citizen
16,Feb-19,100016,olivia.hodges@softvision.com,Olivia,Hodges,"Hodges, Olivia",Irvine,USA,19-Mar-18,Associate Technical Lead,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,27-Feb-19,Better compensation,Voluntary,Full time employee,Citizen
17,Aug-19,100017,tim.grant@softvision.com,Tim,Grant,"Grant, Tim",Jacksonville,USA,15-Mar-11,Associate Technical Manager,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,12-Aug-19,Better compensation,Voluntary,Full time employee,Citizen
18,Jan-19,100018,michelle.brown@softvision.com,Michelle,Brown,"Brown, Michelle",Johns Creek,USA,26-Feb-13,Associate Test Lead,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,11-Jan-19,Better compensation,Voluntary,Full time employee,Citizen
19,Jan-19,100019,william.poole@softvision.com,William,Poole,"Poole, William",Key Largo,USA,18-Jun-16,Associate Trainee,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Exit,3-Jan-19,Performance,Involuntary,Full time employee,Citizen
20,Feb-19,100020,cameron.greene@softvision.com,Cameron,Greene,"Greene, Cameron",Kissimmee,USA,8-Oct-18,Associate Vice President,DeliveryOps,DelOpsB,dominic.lee@softvision.com,109006,"Lee, Dominic",Exit,19-Feb-19,Project end,Involuntary,Full time employee,Citizen
21,Apr-19,100021,jennifer.clarkson@softvision.com,Jennifer,Clarkson,"Clarkson, Jennifer",Laguna Niguel,USA,24-Aug-15,"Associate, Application Development",Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Exit,6-Apr-19,Disciplinary Action,Involuntary,Full time employee,Citizen
22,May-19,100022,gordon.hunter@softvision.com,Gordon,Hunter,"Hunter, Gordon",Lakeland,USA,12-Apr-17,AWS Architect,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Exit,19-May-19,Better opportunity,Voluntary,Full time employee,Permanent Resident
23,Mar-19,100023,colin.sutherland@softvision.com,Colin,Sutherland,"Sutherland, Colin",Las Vegas,USA,5-Dec-18,Backend Engineer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Exit,16-Mar-19,Better compensation,Voluntary,Full time employee,Permanent Resident
24,Apr-19,100024,julian.gill@softvision.com,Julian,Gill,"Gill, Julian",Lawrenceville,USA,17-Apr-15,Blockchain Developer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Exit,4-Apr-19,Better opportunity,Voluntary,Full time employee,Permanent Resident
25,Jan-19,100025,heather.forsyth@softvision.com,Heather,Forsyth,"Forsyth, Heather",Lewis Center,USA,18-Aug-18,Business Analyst,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Exit,7-Jan-19,Better compensation,Voluntary,Full time employee,Permanent Resident
26,Apr-19,100026,caroline.mackay@softvision.com,Caroline,Mackay,"Mackay, Caroline",Lexington,USA,3-Apr-19,Business Developemnt ,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Entry,-,-,-,Full time employee,Citizen
