Sr. No.,Month,EMP ID,EMP Email,F_Name,L_Name,Full Name,Studio,Country,Date of Hire,Job Title,Org,Client,Manager Email,Manager EMP ID,Manager Name,Type of movement,Date of Exit,Reason for Leaving,Attrition Type,Employment type,Work Authorisation
1,Jul-19,300001,david.may@softvision.com,David,May,"May, David",Cluj-Napoca,Romania,11-Jul-19,"President, Digital",Corporate,Executive,edward.anderson@softvision.com,109010,"Anderson, Edward",Entry,-,-,-,Full time employee,Citizen
2,Mar-19,300002,julian.black@softvision.com,Julian,Black,"Black, Julian",Cluj-Napoca,Romania,24-Mar-19,Product Owner,DeliveryOps,DelOpsC,peter.davies@softvision.com,109007,"Davies, Peter",Entry,-,-,-,Full time employee,Citizen
3,Jun-19,300003,michael.arnold@softvision.com,Michael,Arnold,"Arnold, Michael",Cluj-Napoca,Romania,12-Jun-19,Programmer Analyst,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
4,Sep-19,300004,grace.scott@softvision.com,Grace,Scott,"Scott, Grace",Cluj-Napoca,Romania,22-Sep-19,Project Lead,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
5,Aug-19,300005,samantha.langdon@softvision.com,Samantha,Langdon,"Langdon, Samantha",Cluj-Napoca,Romania,27-Aug-19,Project Manager,DeliveryOps,DelOpsD,lily.king@softvision.com,109008,"King, Lily",Entry,-,-,-,Full time employee,Citizen
6,Jan-19,300006,boris.newman@softvision.com,Boris,Newman,"Newman, Boris",Cluj-Napoca,Romania,20-Jan-19,Python Developer,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
7,Mar-19,300007,amy.scott@softvision.com,Amy,Scott,"Scott, Amy",Cluj-Napoca,Romania,4-Mar-19,QA ,Delivery,DelA,paul.kelly@softvision.com,109001,"Kelly, Paul",Entry,-,-,-,Full time employee,Citizen
8,Mar-19,300008,alan.wilson@softvision.com,Alan,Wilson,"Wilson, Alan",Cluj-Napoca,Romania,6-Mar-19,QA Associate,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
9,Feb-19,300009,julia.macdonald@softvision.com,Julia,MacDonald,"Macdonald, Julia",Cluj-Napoca,Romania,1-Feb-19,QA Automation Engineer,Delivery,DelB,max.gibson@softvision.com,109002,"Gibson, Max",Entry,-,-,-,Full time employee,Citizen
10,Jan-19,300010,anna.macleod@softvision.com,Anna,MacLeod,"Macleod, Anna",Cluj-Napoca,Romania,27-Dec-15,QA Engineer,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Exit,22-Jan-19,Better compensation,Voluntary,Full time employee,Citizen
11,Jan-19,300011,megan.hamilton@softvision.com,Megan,Hamilton,"Hamilton, Megan",Cluj-Napoca,Romania,4-Sep-15,Quality Analyst,Delivery,DelC,deirdre.burgess@softvision.com,109003,"Burgess, Deirdre",Exit,16-Jan-19,Better opportunity,Voluntary,Full time employee,Citizen
12,May-19,300012,emily.chapman@softvision.com,Emily,Chapman,"Chapman, Emily",Cluj-Napoca,Romania,10-Apr-17,Quality Assurance Associcate,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,11-May-19,Better opportunity,Voluntary,Full time employee,Citizen
13,Jun-19,300013,harry.graham@softvision.com,Harry,Graham,"Graham, Harry",Cluj-Napoca,Romania,21-Nov-15,Recruiter,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,10-Jun-19,Personal reasons,Voluntary,Full time employee,Citizen
14,Feb-19,300014,keith.walker@softvision.com,Keith,Walker,"Walker, Keith",Cluj-Napoca,Romania,18-Apr-13,REGIONAL TALENT DEVELOPMENT,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,7-Feb-19,Personal reasons,Voluntary,Full time employee,Citizen
15,Jun-19,300015,katherine.ogden@softvision.com,Katherine,Ogden,"Ogden, Katherine",Cluj-Napoca,Romania,17-Jan-14,Retail System Consultant,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,15-Jun-19,Better compensation,Voluntary,Full time employee,Citizen
16,Jun-19,300016,blake.black@softvision.com,Blake,Black,"Black, Blake",Cluj-Napoca,Romania,11-Mar-14,Sales Engineer,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,4-Jun-19,Better opportunity,Voluntary,Full time employee,Citizen
17,Jan-19,300017,jake.carr@softvision.com,Jake,Carr,"Carr, Jake",Cluj-Napoca,Romania,1-Sep-13,Sales Executive,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,7-Jan-19,Better opportunity,Voluntary,Full time employee,Citizen
18,Mar-19,300018,anna.vance@softvision.com,Anna,Vance,"Vance, Anna",Baia Mare,Romania,2-Apr-17,SALES OPERATIONS,Support,Shared Services,megan.jackson@softvision.com,109009,"Jackson, Megan",Exit,1-Mar-19,Better compensation,Voluntary,Full time employee,Citizen
19,May-19,300019,dominic.kerr@softvision.com,Dominic,Kerr,"Kerr, Dominic",Baia Mare,Romania,26-Aug-14,Scrum Master,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,21-May-19,Better compensation,Voluntary,Full time employee,Citizen
20,Apr-19,300020,karen.russell@softvision.com,Karen,Russell,"Russell, Karen",Baia Mare,Romania,19-Dec-18,Senior .NET Developer,Delivery,DelD,blake.knox@softvision.com,109004,"Knox, Blake",Exit,16-Apr-19,Better opportunity,Voluntary,Full time employee,Citizen
